,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
1280,1281,312,23,3,29.2724,8.9565,18.7895,0.016641486382037204,0.6015587953070287
1281,1282,68,199,36,31.2941,20.8342,20.2712,0.0038419698921694965,0.148461404519853
1282,1283,128,119,29,29.4531,20.0168,20.9804,0.006818443861146094,0.2547615322339983
1283,1284,259,66,4,30.3012,15.9697,18.0294,0.014308912012356376,0.5002285936568555
1284,1285,147,104,33,36.0408,20.1923,25.7209,0.009085549564536175,0.3738101557604015
1285,1286,238,58,10,32.8445,13.7759,16.0816,0.01375484044081923,0.5313596964313728
1286,1287,240,78,14,31.3583,15.4744,17.1695,0.013476549220310023,0.4895483307257769
1287,1288,101,152,24,33.4554,16.4211,19.8842,0.0059451543673083055,0.2283697361062526
1288,1289,96,120,46,30.1875,15.1083,19.8583,0.005255804821616257,0.19059192509616202
1289,1290,48,171,44,33.8333,21.5965,23.2847,0.0027264119036732246,0.11745442324300226
1290,1291,82,83,50,32.3049,13.3976,21.557,0.004729843021985945,0.1754077564845803
1291,1292,98,156,30,31.5204,19.4359,22.74,0.005500951543584093,0.20602071791260304
1292,1293,74,104,54,24.9189,20.1635,26.6121,0.003550087013089755,0.11126326461952844
1293,1294,195,102,7,24.1641,16.2353,15.9231,0.009189704529570944,0.27323018625832707
1294,1295,174,86,23,32.3908,17.3023,21.6883,0.009943013819058117,0.38181562699728633
1295,1296,103,116,37,37.2913,20.2155,20.3636,0.006410557358750996,0.27874252835298663
1296,1297,47,198,31,29.5957,24.303,24.2755,0.002508994548198319,0.09168820510110862
1297,1298,64,143,45,34.1406,25.3636,27.3429,0.003742824210735448,0.15485330220745813
1298,1299,111,109,42,29.2523,16.0275,18.7254,0.005944058720750251,0.21108742424764268
1299,1300,51,139,50,40.3529,20.4245,22.8757,0.0033192609173775386,0.15717542594288567
1300,1301,174,86,26,30.6782,19.7558,25.1932,0.009621879801778536,0.35566296964603883
1301,1302,106,96,46,35.2642,22.8229,23.7541,0.006376272004053469,0.2600151442364454
1302,1303,122,155,16,31.4918,19.6194,17.5065,0.0068570760716575654,0.2609503918313425
1303,1304,166,107,29,34.6928,13.2336,26.0225,0.009889976365902355,0.39894293227394845
1304,1305,170,119,11,30.4471,21.5966,23.1765,0.009353114614950768,0.33716692239692814
1305,1306,264,54,11,32.0076,15.5,19.8269,0.01512716511373368,0.5417953807748608
1306,1307,85,224,15,40.0824,23.3839,23.55,0.005640438354863555,0.25279845990653793
1307,1308,147,145,11,31.1497,25.2414,21.25,0.008179155999132768,0.3017008688230543
1308,1309,167,129,9,30.7485,22.5969,19.8727,0.009267340580120298,0.3289603967672365
1309,1310,216,98,7,30.3657,16.6122,15.2051,0.0118493251664744,0.42305377790441373
1310,1311,49,196,27,30.1224,25.0612,24.65,0.00266039345753203,0.09639925490287797
1311,1312,114,141,22,28.6404,18.5887,20.3472,0.006020538949567176,0.2115339512342747
1312,1313,138,105,36,31.5507,16.2762,19.6162,0.0077675238039763075,0.291704566366727
1313,1314,124,118,30,34.4194,19.4237,19.2235,0.007401027122990918,0.29493305434995404
